CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
1997;3;9011110;21;301;MG;1;727600;537;537600;1604127
1997;8;9011110;21;355;ES;1;727600;270;268800;695994
1997;4;9011110;21;190;ND;1;817800;168;168000;609282
1997;7;9011110;21;275;MG;1;817800;1515;1520340;5668036
1997;11;9011110;21;271;SP;1;817800;328;330000;1223410
1997;11;9011110;21;63;PR;7;1010900;202;201300;457895
1997;3;9011110;21;767;ES;1;727600;38;38400;113280
1997;4;9011110;21;756;SP;1;817800;54;54000;175002
1997;7;9011110;21;69;MG;1;817800;294;295200;1088095
1997;7;9011110;21;764;BA;1;817800;19;18720;79303
1997;11;9011110;21;245;PR;1;817800;38;38400;109056
1997;4;9011110;21;386;ES;1;727600;96;96000;257472
1997;6;9011110;21;764;PR;1;817800;125;125220;593426
1997;9;9011110;21;355;MG;1;727600;77;76800;210432
1997;9;9011110;21;87;SP;1;817800;843;843300;2853181
1997;7;9011110;21;149;ES;1;717600;36;36000;65088
1997;3;9011110;21;63;MG;1;817800;209;211200;685542
1997;12;9011110;21;240;ES;1;727600;38;38400;110039
1997;9;9011110;21;23;BA;1;517600;208;208800;792186
1997;9;9011110;21;195;MG;1;817800;100;100020;352807
1997;7;9011110;21;399;ES;1;727600;54;54000;95837
1997;4;9011110;21;87;MG;1;717600;36;36000;100440
1997;4;9011110;21;149;ES;1;717600;19;19200;59452
1997;7;9011110;21;154;MG;1;817800;18;18000;45720
1997;7;9011110;21;301;MG;1;817800;38;38400;135744
1997;6;9011110;21;244;ES;1;727600;57;57600;169422
1997;2;9011110;21;87;SP;1;817800;713;712620;2126802
1997;2;9011110;21;301;MG;1;727600;345;345600;724863
1997;9;9011110;21;399;ND;1;817800;152;151200;520011
1997;2;9011110;21;246;MG;1;817800;269;268800;860384
1997;10;9011110;21;23;SP;1;817800;2492;2494560;8326264
1997;5;9011110;21;245;SP;1;817800;438;439320;1535766
1997;10;9011110;21;23;ES;1;727600;38;38400;105216
1997;10;9011110;21;232;PR;1;817800;38;38400;111360
1997;10;9011110;21;149;SP;1;817800;95;96000;325347
1997;10;9011110;21;240;ES;1;727600;287;288000;776832
1997;5;9011110;21;245;ES;1;817800;57;57600;162879
1997;10;9011110;21;628;ES;1;727600;288;288000;465984
1997;10;9011110;21;845;ES;7;1015300;36;36000;82640
1997;10;9011110;21;399;ND;1;817800;414;413700;1398071
1997;10;9011110;21;87;BA;1;817800;15;14760;47129
1997;5;9011110;21;195;SP;1;817800;8;8220;30263
1997;11;9011110;21;538;MG;1;817800;796;795600;2645644
1997;3;9011110;21;764;SP;1;817800;1004;1006200;3502726
