CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB;VL_FRETE;VL_SEGURO
1997;3;9011110;21;586;PR;7;910600;30000;30000;90000;300;0
1997;3;9011110;21;249;SP;1;817800;171;170859;284392;22250;1777
1997;2;9011110;21;586;PR;7;910600;50;50400;89040;460;0
2000;3;9011110;21;586;PR;7;910600;75;75000;107813;375;0
2000;9;9011110;21;97;AC;7;230151;248;17360;2480;100;0
2002;12;9011110;21;386;SP;1;817800;0;258;515;60;0
2005;12;9011110;21;105;MG;1;817800;22;21600;49076;564;245
2015;6;9011110;21;105;SP;10;817600;48;5019;2208;22;0
2015;5;9011110;21;105;SP;10;817600;334;11656;15364;154;0
2015;7;9011110;21;105;SP;10;817600;17;9;782;8;0
2015;7;9011110;21;105;RJ;10;717700;95;14533;4370;44;0
2015;10;9011110;21;105;SP;10;817600;51;24501;1517;15;0
2015;10;9011110;21;105;RJ;10;717700;1;500;17;0;0
2016;4;9011110;21;105;SP;10;817600;57;29;992;10;0
2016;11;9011110;21;105;SP;10;817600;36;18;626;6;0
2016;8;9011110;21;845;SP;10;817600;24;2;418;5;0
2017;11;9011110;21;845;SP;10;817600;35;4;609;7;0
2017;3;9011110;21;845;RJ;10;717700;24;2;418;5;0
2017;9;9011110;21;105;SP;10;817600;4;0;70;1;0
2017;12;9011110;21;105;SP;10;817600;137;14;2384;27;0
2017;7;9011110;21;845;RJ;10;717700;85;9;1479;17;0
2017;11;9011110;21;858;PR;1;917800;38;38400;81966;5816;346
2017;6;9011110;21;845;RJ;10;717700;52;5;905;10;0
2017;8;9011110;21;845;SP;10;817600;96;10;1670;19;0
2017;7;9011110;21;845;SP;10;817600;29;3;505;6;0
2017;12;9011110;21;858;PR;1;917800;313;312992;665612;27944;2138
2017;6;9011110;21;845;SP;10;817600;125;20;2175;25;0
2017;10;9011110;21;845;RJ;10;717700;51;5;887;10;0
2017;9;9011110;21;845;RJ;10;717700;284;28;4942;56;0
2017;9;9011110;21;845;SP;10;817600;29;3;505;6;0
2017;11;9011110;21;105;SP;10;817600;42;4;731;8;0
2017;8;9011110;21;386;SC;1;927800;0;312;5805;174;25
2017;11;9011110;21;845;RJ;10;717700;81;8;1409;16;0
2017;5;9011110;21;845;RJ;10;717700;6;1;104;1;0
2017;8;9011110;21;845;RJ;10;717700;20;2;348;4;0
2018;6;9011110;21;628;RJ;10;717700;48;48;835;9;0
2018;3;9011110;21;249;SP;10;817600;50;5;870;10;0
2018;3;9011110;21;105;SP;10;817600;81;8;1409;16;0
2018;12;9011110;21;105;RJ;10;717700;0;40;1357;15;0
2018;12;9011110;21;105;SP;10;817600;40000;70;1479;17;0
2018;7;9011110;21;249;RJ;10;717700;30;30;522;6;0
2018;12;9011110;21;628;SP;10;817600;0;9;157;2;0
2018;11;9011110;21;105;SP;10;817600;0;14;244;3;0
2018;8;9011110;21;105;SP;10;817600;135;74;2349;27;0
2018;4;9011110;21;105;RJ;10;717700;44;4;766;9;0
2018;4;9011110;21;845;RJ;10;717700;33;3;574;6;0
2019;2;9011110;21;105;RJ;10;717700;0;11;400;5;0
2019;6;9011110;21;105;RJ;10;717700;0;30;1044;12;0
2019;11;9011110;21;105;RJ;10;717700;0;13;435;5;0
2019;10;9011110;21;105;RJ;10;717700;0;1;35;0;0
2019;4;9011110;21;105;RJ;10;717700;0;54;1879;21;0
2019;3;9011110;21;628;SP;10;817600;0;3;87;1;0
2019;9;9011110;21;105;RJ;10;717700;0;12;418;5;0
2019;4;9011110;21;105;SP;10;817600;0;4;139;2;0
2019;3;9011110;21;105;RJ;10;717700;0;5;174;2;0
2019;3;9011110;21;105;SP;10;817600;0;50;870;10;0
2020;7;9011110;21;858;PR;1;917800;20;20000;31418;1500;60
2021;3;9011110;21;105;ES;1;817800;36;36036;50626;2500;0
2022;8;9011110;21;858;PR;1;817800;894;894050;1874683;291600;2683
2022;9;9011110;21;858;PR;1;817800;894;893975;1843063;314100;2681
2022;6;9011110;21;858;PR;1;817800;896;895950;2042403;153990;2688
2022;7;9011110;21;858;PR;1;817800;894;894150;1997685;168840;2683
2022;4;9011110;21;858;PR;1;817800;597;597000;1151531;270000;1790
2023;5;9011110;21;858;PR;1;817800;1786;1786200;3418139;82260;5315
2023;8;9011110;21;858;PR;1;817800;896;895850;1641658;94500;2693
2023;1;9011110;21;858;PR;1;817800;300;300000;646354;55500;773
2023;2;9011110;21;858;PR;1;817800;300;300000;674382;20250;765
2023;6;9011110;21;858;PR;1;817800;894;893550;1667554;64140;2681
2023;3;9011110;21;858;PR;1;817800;893;893250;1682589;38700;2684
2024;3;9011110;21;105;MG;10;817800;1;544;1313;0;0
2025;1;9011110;21;386;SP;1;817800;504;504;5710;361;0
