CO_ANO;CO_MES;VL_FOB;KG_LIQUIDO;QT_ESTAT;Label;part
1997;2;89040;50400;50;Import;
1997;3;374392;200859;30171;Import;
2000;3;107813;75000;75;Import;
2000;9;2480;17360;248;Import;
2002;12;515;258;0;Import;
2005;12;49076;21600;22;Import;
2015;5;15364;11656;334;Import;
2015;6;2208;5019;48;Import;
2015;7;5152;14542;112;Import;
2015;10;1534;25001;52;Import;
2016;4;992;29;57;Import;
2016;8;418;2;24;Import;
2016;11;626;18;36;Import;
2017;3;418;2;24;Import;
2017;5;104;1;6;Import;
2017;6;3080;25;177;Import;
2017;7;1984;12;114;Import;
2017;8;7823;324;116;Import;
2017;9;5517;31;317;Import;
2017;10;887;5;51;Import;
2017;11;84715;38416;196;Import;
2017;12;667996;313006;450;Import;
2018;3;2279;13;131;Import;
2018;4;1340;7;77;Import;
2018;6;835;48;48;Import;
2018;7;522;30;30;Import;
2018;8;2349;74;135;Import;
2018;11;244;14;0;Import;
2018;12;2993;119;40000;Import;
2019;2;400;11;0;Import;
2019;3;1131;58;0;Import;
2019;4;2018;58;0;Import;
2019;6;1044;30;0;Import;
2019;9;418;12;0;Import;
2019;10;35;1;0;Import;
2019;11;435;13;0;Import;
2020;7;31418;20000;20;Import;
2021;3;50626;36036;36;Import;
2022;4;1151531;597000;597;Import;
2022;6;2042403;895950;896;Import;
2022;7;1997685;894150;894;Import;
2022;8;1874683;894050;894;Import;
2022;9;1843063;893975;894;Import;
2023;1;646354;300000;300;Import;
2023;2;674382;300000;300;Import;
2023;3;1682589;893250;893;Import;
2023;5;3418139;1786200;1786;Import;
2023;6;1667554;893550;894;Import;
2023;8;1641658;895850;896;Import;
2024;3;1313;544;1;Import;
2025;1;5710;504;504;Import;
1997;1;166818864;77112110;77069;Export;4.53192537111344
1997;2;189902453;72612759;72590;Export;6.04249936810003
1997;3;262885487;83342330;83286;Export;6.874484205112
1997;4;284600021;83231790;83195;Export;6.1546356402652
1997;5;264503834;75975920;75919;Export;5.68227593382469
1997;6;215086565;59779100;59724;Export;4.44246790490708
1997;7;212181091;61857850;61812;Export;4.05295217635001
1997;8;245677163;73484590;73522;Export;4.84406055243646
1997;9;247725346;75668090;75577;Export;5.40339034374014
1997;10;260390369;80168590;80402;Export;5.44079900866296
1997;11;197316796;64004840;63905;Export;4.9666141154182
1997;12;195960642;60603050;60544;Export;4.3270842133505
1998;1;160566332;47400050;47372;Export;4.10889515411548
1998;2;197847815;55579880;55530;Export;5.329810560181
1998;3;168191442;48542600;48495;Export;3.94025959384012
1998;4;153686683;48588260;48535;Export;3.36490500822686
